"year","zone","measure","value"
"1993","S01001790","Upper Quartile",69750
"2001","S01001790","Upper Quartile",70000
"2009","S01001790","Upper Quartile",316800
"2000","S01001790","Upper Quartile",69000
"2004","S01001790","Lower Quartile",118139
"2005","S01001790","Lower Quartile",120000
"2006","S01001790","Lower Quartile",127000
"2007","S01001790","Lower Quartile",150279
"2008","S01001790","Lower Quartile",146000
"2009","S01001790","Lower Quartile",145000
"2010","S01001790","Lower Quartile",143000
"2011","S01001790","Lower Quartile",138000
"2012","S01001790","Lower Quartile",136750
"2013","S01001790","Lower Quartile",140000
"2003","S01001790","Lower Quartile",96150
"2002","S01001790","Lower Quartile",81750
"1998","S01001790","Lower Quartile",54000
"1999","S01001790","Lower Quartile",55000
"2000","S01001790","Lower Quartile",57995
"2001","S01001790","Lower Quartile",60000
"1993","S01001790","Lower Quartile",45000
"1994","S01001790","Lower Quartile",48600
"1995","S01001790","Lower Quartile",51000
"1996","S01001790","Lower Quartile",47000
"1997","S01001790","Lower Quartile",52000
"2004","S01001790","Count",10
"2005","S01001790","Count",11
"2006","S01001790","Count",15
"2007","S01001790","Count",9
"2008","S01001790","Count",7
"2009","S01001790","Count",8
"2010","S01001790","Count",12
"2011","S01001790","Count",4
"2012","S01001790","Count",11
"2013","S01001790","Count",11
"2003","S01001790","Count",6
"2002","S01001790","Count",12
"1998","S01001790","Count",16
"1999","S01001790","Count",13
"2000","S01001790","Count",14
"2001","S01001790","Count",15
"1993","S01001790","Count",29
"1994","S01001790","Count",10
"1995","S01001790","Count",9
"1996","S01001790","Count",19
"1997","S01001790","Count",18
"2008","S01001791","Median",260671
"2009","S01001791","Median",160000
"2006","S01001791","Median",252500
"2005","S01001791","Median",310000
"1998","S01001791","Median",88375
"2010","S01001791","Median",242250
"2013","S01001791","Median",260000
"2012","S01001791","Median",210000
"1995","S01001791","Median",53500
"2011","S01001791","Median",250000
"2004","S01001791","Median",128126
"1993","S01001791","Median",53538
"2001","S01001791","Median",97500
"2002","S01001791","Median",130000
"1996","S01001791","Median",89000
"2000","S01001791","Median",103000
"1999","S01001791","Median",89750
"2003","S01001791","Median",143278
"1997","S01001791","Median",68502
"1994","S01001791","Median",53000
"2007","S01001791","Median",186083
"1993","S01001791","Mean",69641
"1994","S01001791","Mean",71500
"1995","S01001791","Mean",78242
"2008","S01001791","Mean",276474
"1996","S01001791","Mean",97598
"2004","S01001791","Mean",146111
"1997","S01001791","Mean",77500
"2005","S01001791","Mean",319311
"2009","S01001791","Mean",195709
"2010","S01001791","Mean",264800
"2011","S01001791","Mean",250000
"2012","S01001791","Mean",207937
"2013","S01001791","Mean",258109
"2006","S01001791","Mean",267029
"2003","S01001791","Mean",149494
"2002","S01001791","Mean",131053
"1998","S01001791","Mean",92884
"1999","S01001791","Mean",115368
"2007","S01001791","Mean",237914
"2000","S01001791","Mean",131295
"2001","S01001791","Mean",123124
"1997","S01001791","Upper Quartile",95000
"2003","S01001791","Upper Quartile",210000
"2002","S01001791","Upper Quartile",162000
"1996","S01001791","Upper Quartile",98000
"2008","S01001791","Upper Quartile",337500
"2006","S01001791","Upper Quartile",375175
"1998","S01001791","Upper Quartile",128000
"1995","S01001791","Upper Quartile",82250
"2007","S01001791","Upper Quartile",328166
"2004","S01001791","Upper Quartile",176998
"1999","S01001791","Upper Quartile",152750
"2011","S01001791","Upper Quartile",375000
"1994","S01001791","Upper Quartile",92000
"2005","S01001791","Upper Quartile",475000
"2012","S01001791","Upper Quartile",245000
"2013","S01001791","Upper Quartile",330000
"2010","S01001791","Upper Quartile",354175
"1993","S01001791","Upper Quartile",88000
"2001","S01001791","Upper Quartile",180000
"2009","S01001791","Upper Quartile",262500
"2000","S01001791","Upper Quartile",175000
"2004","S01001791","Lower Quartile",113500
"2005","S01001791","Lower Quartile",120000
"2006","S01001791","Lower Quartile",160000
"2007","S01001791","Lower Quartile",149072
"2008","S01001791","Lower Quartile",165000
"2009","S01001791","Lower Quartile",147754
"2010","S01001791","Lower Quartile",152776
"2011","S01001791","Lower Quartile",125000
"2012","S01001791","Lower Quartile",155000
"2013","S01001791","Lower Quartile",168500
"2003","S01001791","Lower Quartile",94000
"2002","S01001791","Lower Quartile",80000
"1998","S01001791","Lower Quartile",58500
"1999","S01001791","Lower Quartile",57000
"2000","S01001791","Lower Quartile",80000
"2001","S01001791","Lower Quartile",63500
"1993","S01001791","Lower Quartile",47950
"1994","S01001791","Lower Quartile",49000
"1995","S01001791","Lower Quartile",52000
"1996","S01001791","Lower Quartile",50500
"1997","S01001791","Lower Quartile",57000
"2004","S01001791","Count",16
"2005","S01001791","Count",15
"2006","S01001791","Count",6
"2007","S01001791","Count",20
"2008","S01001791","Count",6
"2009","S01001791","Count",8
"2010","S01001791","Count",8
"2011","S01001791","Count",2
"2012","S01001791","Count",8
"2013","S01001791","Count",11
"2003","S01001791","Count",10
"2002","S01001791","Count",10
"1998","S01001791","Count",14
"1999","S01001791","Count",24
"2000","S01001791","Count",18
"2001","S01001791","Count",8
"1993","S01001791","Count",14
"1994","S01001791","Count",17
"1995","S01001791","Count",13
"1996","S01001791","Count",11
"1997","S01001791","Count",6
"2008","S01001792","Median",242750
"2009","S01001792","Median",206500
"2006","S01001792","Median",202500
"2005","S01001792","Median",147000
"1998","S01001792","Median",108552
"2010","S01001792","Median",188888
"2013","S01001792","Median",150000
"2012","S01001792","Median",163000
"1995","S01001792","Median",58500
"2011","S01001792","Median",235500
"2004","S01001792","Median",135056
"1993","S01001792","Median",54540
"2001","S01001792","Median",123000
"2002","S01001792","Median",125400
"1996","S01001792","Median",71000
"2000","S01001792","Median",110000
"1999","S01001792","Median",97500
"2003","S01001792","Median",169500
"1997","S01001792","Median",64579
"1994","S01001792","Median",58000
"2007","S01001792","Median",157500
"1993","S01001792","Mean",59648
"1994","S01001792","Mean",73855
"1995","S01001792","Mean",63050
"2008","S01001792","Mean",217688
"1996","S01001792","Mean",72641
"2004","S01001792","Mean",152705
"1997","S01001792","Mean",75957
"2005","S01001792","Mean",201879
"2009","S01001792","Mean",210750
"2010","S01001792","Mean",171347
"2011","S01001792","Mean",199167
"2012","S01001792","Mean",187967
"2013","S01001792","Mean",181555
"2006","S01001792","Mean",197446
"2003","S01001792","Mean",166130
"2002","S01001792","Mean",113912
"1998","S01001792","Mean",99846
"1999","S01001792","Mean",87942
"2007","S01001792","Mean",235413
"2000","S01001792","Mean",95360
"2001","S01001792","Mean",113093
"1997","S01001792","Upper Quartile",91750
"2003","S01001792","Upper Quartile",190000
"2002","S01001792","Upper Quartile",145000
"1996","S01001792","Upper Quartile",92376
"2008","S01001792","Upper Quartile",260000
"2006","S01001792","Upper Quartile",232325
"1998","S01001792","Upper Quartile",118140
"1995","S01001792","Upper Quartile",59999
"2007","S01001792","Upper Quartile",250000
"2004","S01001792","Upper Quartile",185000
"1999","S01001792","Upper Quartile",108000
"2011","S01001792","Upper Quartile",272000
"1994","S01001792","Upper Quartile",88000
"2005","S01001792","Upper Quartile",282000
"2012","S01001792","Upper Quartile",249800
"2013","S01001792","Upper Quartile",249999
"2010","S01001792","Upper Quartile",219500
"1993","S01001792","Upper Quartile",67500
"2001","S01001792","Upper Quartile",138000
"2009","S01001792","Upper Quartile",281500
"2000","S01001792","Upper Quartile",118777
"2004","S01001792","Lower Quartile",120000
"2005","S01001792","Lower Quartile",132000
"2006","S01001792","Lower Quartile",155576
"2007","S01001792","Lower Quartile",151000
"2008","S01001792","Lower Quartile",164500
"2009","S01001792","Lower Quartile",140000
"2010","S01001792","Lower Quartile",122750
"2011","S01001792","Lower Quartile",90000
"2012","S01001792","Lower Quartile",145000
"2013","S01001792","Lower Quartile",134000
"2003","S01001792","Lower Quartile",150000
"2002","S01001792","Lower Quartile",72000
"1998","S01001792","Lower Quartile",81552
"1999","S01001792","Lower Quartile",60000
"2000","S01001792","Lower Quartile",64500
"2001","S01001792","Lower Quartile",83000
"1993","S01001792","Lower Quartile",47250
"1994","S01001792","Lower Quartile",50000
"1995","S01001792","Lower Quartile",49500
"1996","S01001792","Lower Quartile",52000
"1997","S01001792","Lower Quartile",55750
"2004","S01001792","Count",19
"2005","S01001792","Count",7
"2006","S01001792","Count",16
"2007","S01001792","Count",13
"2008","S01001792","Count",8
"2009","S01001792","Count",4
"2010","S01001792","Count",8
"2011","S01001792","Count",3
"2012","S01001792","Count",6
"2013","S01001792","Count",9
"2003","S01001792","Count",10
"2002","S01001792","Count",11
"1998","S01001792","Count",4
"1999","S01001792","Count",14
"2000","S01001792","Count",11
"2001","S01001792","Count",11
"1993","S01001792","Count",16
"1994","S01001792","Count",19
"1995","S01001792","Count",5
"1996","S01001792","Count",14
"1997","S01001792","Count",8
"2008","S01001793","Median",295000
"2009","S01001793","Median",227500
"2006","S01001793","Median",159000
"2005","S01001793","Median",296000
"1998","S01001793","Median",110000
"2010","S01001793","Median",202583
"2013","S01001793","Median",324000
"2012","S01001793","Median",135000
"1995","S01001793","Median",69750
"2011","S01001793","Median",139750
"2004","S01001793","Median",159000
"1993","S01001793","Median",44750
"2001","S01001793","Median",110500
"2002","S01001793","Median",165500
"1996","S01001793","Median",67500
"2000","S01001793","Median",144275
"1999","S01001793","Median",82000
"2003","S01001793","Median",125115
"1997","S01001793","Median",146500
"1994","S01001793","Median",125500
"2007","S01001793","Median",310000
"1993","S01001793","Mean",84850
"1994","S01001793","Mean",128431
"1995","S01001793","Mean",113866
"2008","S01001793","Mean",312264
"1996","S01001793","Mean",80462
"2004","S01001793","Mean",253196
"1997","S01001793","Mean",136890
"2005","S01001793","Mean",287733
"2009","S01001793","Mean",266307
"2010","S01001793","Mean",204026
"2011","S01001793","Mean",178583
"2012","S01001793","Mean",242773
"2013","S01001793","Mean",336322
"2006","S01001793","Mean",191080
"2003","S01001793","Mean",229746
"2002","S01001793","Mean",223223
"1998","S01001793","Mean",120783
"1999","S01001793","Mean",100883
"2007","S01001793","Mean",336497
"2000","S01001793","Mean",176405
"2001","S01001793","Mean",140860
"1997","S01001793","Upper Quartile",170000
"2003","S01001793","Upper Quartile",291000
"2002","S01001793","Upper Quartile",330000
"1996","S01001793","Upper Quartile",115000
"2008","S01001793","Upper Quartile",345000
"2006","S01001793","Upper Quartile",189000
"1998","S01001793","Upper Quartile",160000
"1995","S01001793","Upper Quartile",185000
"2007","S01001793","Upper Quartile",450000
"2004","S01001793","Upper Quartile",400000
"1999","S01001793","Upper Quartile",85500
"2011","S01001793","Upper Quartile",175000
"1994","S01001793","Upper Quartile",163250
"2005","S01001793","Upper Quartile",394000
"2012","S01001793","Upper Quartile",405000
"2013","S01001793","Upper Quartile",500000
"2010","S01001793","Upper Quartile",255772
"1993","S01001793","Upper Quartile",96600
"2001","S01001793","Upper Quartile",185000
"2009","S01001793","Upper Quartile",305000
"2000","S01001793","Upper Quartile",245000
"2004","S01001793","Lower Quartile",110000
"2005","S01001793","Lower Quartile",116000
"2006","S01001793","Lower Quartile",126000
"2007","S01001793","Lower Quartile",155000
"2008","S01001793","Lower Quartile",169950
"2009","S01001793","Lower Quartile",182938
"2010","S01001793","Lower Quartile",121500
"2011","S01001793","Lower Quartile",132000
"2012","S01001793","Lower Quartile",118500
"2013","S01001793","Lower Quartile",125000
"2003","S01001793","Lower Quartile",83000
"2002","S01001793","Lower Quartile",92215
"1998","S01001793","Lower Quartile",83500
"1999","S01001793","Lower Quartile",56000
"2000","S01001793","Lower Quartile",60000
"2001","S01001793","Lower Quartile",67558
"1993","S01001793","Lower Quartile",38000
"1994","S01001793","Lower Quartile",70000
"1995","S01001793","Lower Quartile",62000
"1996","S01001793","Lower Quartile",50000
"1997","S01001793","Lower Quartile",110000
"2004","S01001793","Count",19
"2005","S01001793","Count",18
"2006","S01001793","Count",21
"2007","S01001793","Count",23
"2008","S01001793","Count",26
"2009","S01001793","Count",16
"2010","S01001793","Count",12
"2011","S01001793","Count",6
"2012","S01001793","Count",11
"2013","S01001793","Count",14
"2003","S01001793","Count",25
"2002","S01001793","Count",18
"1998","S01001793","Count",15
"1999","S01001793","Count",30
"2000","S01001793","Count",10
"2001","S01001793","Count",24
"1993","S01001793","Count",10
"1994","S01001793","Count",8
"1995","S01001793","Count",6
"1996","S01001793","Count",13
"1997","S01001793","Count",26
"2008","S01001794","Median",188638
"2009","S01001794","Median",158500
"2006","S01001794","Median",342500
"2005","S01001794","Median",127000
"1998","S01001794","Median",155000
"2010","S01001794","Median",202222
"2013","S01001794","Median",146000
"2012","S01001794","Median",280085
"1995","S01001794","Median",132975
"2011","S01001794","Median",132498
"2004","S01001794","Median",159750
"1993","S01001794","Median",123500
"2001","S01001794","Median",149000
"2002","S01001794","Median",85000
"1996","S01001794","Median",84000
"2000","S01001794","Median",70000
"1999","S01001794","Median",72250
"2003","S01001794","Median",125138
"1997","S01001794","Median",131565
"1994","S01001794","Median",128000
"2007","S01001794","Median",180000
"1993","S01001794","Mean",144109
"1994","S01001794","Mean",121983
"1995","S01001794","Mean",126631
"2008","S01001794","Mean",273216
"1996","S01001794","Mean",122304
"2004","S01001794","Mean",219962
"1997","S01001794","Mean",136933
"2005","S01001794","Mean",202711
"2009","S01001794","Mean",209625
"2010","S01001794","Mean",287343
"2011","S01001794","Mean",175062
"2012","S01001794","Mean",266285
"2013","S01001794","Mean",227687
"2006","S01001794","Mean",320774
"2003","S01001794","Mean",186312
"2002","S01001794","Mean",150876
"1998","S01001794","Mean",142324
"1999","S01001794","Mean",132687
"2007","S01001794","Mean",258049
"2000","S01001794","Mean",113430
"2001","S01001794","Mean",170128
"1997","S01001794","Upper Quartile",182810
"2003","S01001794","Upper Quartile",265000
"2002","S01001794","Upper Quartile",249950
"1996","S01001794","Upper Quartile",184250
"2008","S01001794","Upper Quartile",320000
"2006","S01001794","Upper Quartile",450000
"1998","S01001794","Upper Quartile",200000
"1995","S01001794","Upper Quartile",158000
"2007","S01001794","Upper Quartile",300000
"2004","S01001794","Upper Quartile",350000
"1999","S01001794","Upper Quartile",208000
"2011","S01001794","Upper Quartile",186000
"1994","S01001794","Upper Quartile",185000
"2005","S01001794","Upper Quartile",310015
"2012","S01001794","Upper Quartile",330375
"2013","S01001794","Upper Quartile",334000
"2010","S01001794","Upper Quartile",348000
"1993","S01001794","Upper Quartile",184000
"2001","S01001794","Upper Quartile",250000
"2009","S01001794","Upper Quartile",310000
"2000","S01001794","Upper Quartile",185000
"2004","S01001794","Lower Quartile",95000
"2005","S01001794","Lower Quartile",118300
"2006","S01001794","Lower Quartile",150150
"2007","S01001794","Lower Quartile",145145
"2008","S01001794","Lower Quartile",150000
"2009","S01001794","Lower Quartile",136000
"2010","S01001794","Lower Quartile",117050
"2011","S01001794","Lower Quartile",118750
"2012","S01001794","Lower Quartile",138500
"2013","S01001794","Lower Quartile",123250
"2003","S01001794","Lower Quartile",101500
"2002","S01001794","Lower Quartile",60000
"1998","S01001794","Lower Quartile",57500
"1999","S01001794","Lower Quartile",56002
"2000","S01001794","Lower Quartile",57000
"2001","S01001794","Lower Quartile",67549
"1993","S01001794","Lower Quartile",108000
"1994","S01001794","Lower Quartile",53500
"1995","S01001794","Lower Quartile",102000
"1996","S01001794","Lower Quartile",50000
"1997","S01001794","Lower Quartile",62000
"2004","S01001794","Count",22
"2005","S01001794","Count",19
"2006","S01001794","Count",17
"2007","S01001794","Count",17
"2008","S01001794","Count",14
"2009","S01001794","Count",16
"2010","S01001794","Count",11
"2011","S01001794","Count",8
"2012","S01001794","Count",12
"2013","S01001794","Count",15
"2003","S01001794","Count",18
"2002","S01001794","Count",11
"1998","S01001794","Count",13
"1999","S01001794","Count",22
"2000","S01001794","Count",17
"2001","S01001794","Count",18
"1993","S01001794","Count",9
"1994","S01001794","Count",15
"1995","S01001794","Count",10
"1996","S01001794","Count",14
"1997","S01001794","Count",18
"2008","S01001795","Median",283750
"2009","S01001795","Median",375250
"2006","S01001795","Median",242375
"2005","S01001795","Median",273750
"1998","S01001795","Median",89000
"2010","S01001795","Median",265000
"2013","S01001795","Median",200000
"2012","S01001795","Median",291500
"1995","S01001795","Median",80000
"2011","S01001795","Median",144500
"2004","S01001795","Median",136000
"1993","S01001795","Median",55000
"2001","S01001795","Median",117500
"2002","S01001795","Median",108558
"1996","S01001795","Median",79000
"2000","S01001795","Median",137128
"1999","S01001795","Median",78250
"2003","S01001795","Median",170000
"1997","S01001795","Median",75750
"1994","S01001795","Median",55576
"2007","S01001795","Median",195210
"1993","S01001795","Mean",69246
"1994","S01001795","Mean",70750
"1995","S01001795","Mean",151846
"2008","S01001795","Mean",310162
"1996","S01001795","Mean",85042
"2004","S01001795","Mean",167908
"1997","S01001795","Mean",79278
"2005","S01001795","Mean",290494
"2009","S01001795","Mean",367250
"2010","S01001795","Mean",288000
"2011","S01001795","Mean",120375
"2012","S01001795","Mean",303192
"2013","S01001795","Mean",241800
"2006","S01001795","Mean",242163
"2003","S01001795","Mean",172268
"2002","S01001795","Mean",116642
"1998","S01001795","Mean",107703
"1999","S01001795","Mean",127073
"2007","S01001795","Mean",278028
"2000","S01001795","Mean",138862
"2001","S01001795","Mean",122644
"1997","S01001795","Upper Quartile",89500
"2003","S01001795","Upper Quartile",198000
"2002","S01001795","Upper Quartile",162500
"1996","S01001795","Upper Quartile",125000
"2008","S01001795","Upper Quartile",432500
"2006","S01001795","Upper Quartile",265000
"1998","S01001795","Upper Quartile",155200
"1995","S01001795","Upper Quartile",242000
"2007","S01001795","Upper Quartile",288888
"2004","S01001795","Upper Quartile",216000
"1999","S01001795","Upper Quartile",157000
"2011","S01001795","Upper Quartile",188250
"1994","S01001795","Upper Quartile",96400
"2005","S01001795","Upper Quartile",410000
"2012","S01001795","Upper Quartile",396458
"2013","S01001795","Upper Quartile",271500
"2010","S01001795","Upper Quartile",337500
"1993","S01001795","Upper Quartile",80000
"2001","S01001795","Upper Quartile",156000
"2009","S01001795","Upper Quartile",515000
"2000","S01001795","Upper Quartile",165550
"2004","S01001795","Lower Quartile",97600
"2005","S01001795","Lower Quartile",149995
"2006","S01001795","Lower Quartile",207777
"2007","S01001795","Lower Quartile",171759
"2008","S01001795","Lower Quartile",187825
"2009","S01001795","Lower Quartile",173000
"2010","S01001795","Lower Quartile",238500
"2011","S01001795","Lower Quartile",61700
"2012","S01001795","Lower Quartile",200259
"2013","S01001795","Lower Quartile",160000
"2003","S01001795","Lower Quartile",130000
"2002","S01001795","Lower Quartile",83600
"1998","S01001795","Lower Quartile",71750
"1999","S01001795","Lower Quartile",57000
"2000","S01001795","Lower Quartile",105500
"2001","S01001795","Lower Quartile",83000
"1993","S01001795","Lower Quartile",39500
"1994","S01001795","Lower Quartile",42000
"1995","S01001795","Lower Quartile",48000
"1996","S01001795","Lower Quartile",42000
"1997","S01001795","Lower Quartile",51250
"2004","S01001795","Count",16
"2005","S01001795","Count",10
"2006","S01001795","Count",10
"2007","S01001795","Count",12
"2008","S01001795","Count",4
"2009","S01001795","Count",6
"2010","S01001795","Count",4
"2011","S01001795","Count",4
"2012","S01001795","Count",8
"2013","S01001795","Count",10
"2003","S01001795","Count",11
"2002","S01001795","Count",12
"1998","S01001795","Count",13
"1999","S01001795","Count",14
"2000","S01001795","Count",12
"2001","S01001795","Count",15
"1993","S01001795","Count",13
"1994","S01001795","Count",10
"1995","S01001795","Count",9
"1996","S01001795","Count",19
"1997","S01001795","Count",8
"2008","S01001796","Median",391000
"2009","S01001796","Median",352500
"2006","S01001796","Median",451000
"2005","S01001796","Median",320000
"1998","S01001796","Median",152500
"2010","S01001796","Median",460000
"2013","S01001796","Median",295000
"2012","S01001796","Median",370000
"1995","S01001796","Median",126500
"2011","S01001796","Median",350000
"2004","S01001796","Median",341000
"1993","S01001796","Median",131139
"2001","S01001796","Median",211328
"2002","S01001796","Median",225000
"1996","S01001796","Median",112000
"2000","S01001796","Median",193276
"1999","S01001796","Median",150395
"2003","S01001796","Median",268209
"1997","S01001796","Median",202500
"1994","S01001796","Median",135050
"2007","S01001796","Median",402000
"1993","S01001796","Mean",133373
"1994","S01001796","Mean",123858
"1995","S01001796","Mean",133750
"2008","S01001796","Mean",423025
"1996","S01001796","Mean",129677
"2004","S01001796","Mean",345916
"1997","S01001796","Mean",191188
"2005","S01001796","Mean",326920
"2009","S01001796","Mean",351375
"2010","S01001796","Mean",441000
"2011","S01001796","Mean",381840
"2012","S01001796","Mean",345083
"2013","S01001796","Mean",301523
"2006","S01001796","Mean",475780
"2003","S01001796","Mean",305488
"2002","S01001796","Mean",215985
"1998","S01001796","Mean",154291
"1999","S01001796","Mean",149414
"2007","S01001796","Mean",436099
"2000","S01001796","Mean",206672
"2001","S01001796","Mean",221668
"1997","S01001796","Upper Quartile",229250
"2003","S01001796","Upper Quartile",295000
"2002","S01001796","Upper Quartile",247000
"1996","S01001796","Upper Quartile",153026
"2008","S01001796","Upper Quartile",415000
"2006","S01001796","Upper Quartile",535000
"1998","S01001796","Upper Quartile",165000
"1995","S01001796","Upper Quartile",145000
"2007","S01001796","Upper Quartile",477250
"2004","S01001796","Upper Quartile",450000
"1999","S01001796","Upper Quartile",175000
"2011","S01001796","Upper Quartile",410000
"1994","S01001796","Upper Quartile",149000
"2005","S01001796","Upper Quartile",340340
"2012","S01001796","Upper Quartile",393250
"2013","S01001796","Upper Quartile",368000
"2010","S01001796","Upper Quartile",465000
"1993","S01001796","Upper Quartile",144100
"2001","S01001796","Upper Quartile",250000
"2009","S01001796","Upper Quartile",385000
"2000","S01001796","Upper Quartile",250000
"2004","S01001796","Lower Quartile",220496
"2005","S01001796","Lower Quartile",300000
"2006","S01001796","Lower Quartile",356600
"2007","S01001796","Lower Quartile",366084
"2008","S01001796","Lower Quartile",361150
"2009","S01001796","Lower Quartile",318000
"2010","S01001796","Lower Quartile",375000
"2011","S01001796","Lower Quartile",291000
"2012","S01001796","Lower Quartile",286500
"2013","S01001796","Lower Quartile",260000
"2003","S01001796","Lower Quartile",222222
"2002","S01001796","Lower Quartile",200114
"1998","S01001796","Lower Quartile",142500
"1999","S01001796","Lower Quartile",128000
"2000","S01001796","Lower Quartile",179950
"2001","S01001796","Lower Quartile",195000
"1993","S01001796","Lower Quartile",107000
"1994","S01001796","Lower Quartile",107500
"1995","S01001796","Lower Quartile",111000
"1996","S01001796","Lower Quartile",73000
"1997","S01001796","Lower Quartile",146500
"2004","S01001796","Count",6
"2005","S01001796","Count",11
"2006","S01001796","Count",9
"2007","S01001796","Count",16
"2008","S01001796","Count",6
"2009","S01001796","Count",8
"2010","S01001796","Count",5
"2011","S01001796","Count",11
"2012","S01001796","Count",12
"2013","S01001796","Count",11
"2003","S01001796","Count",10
"2002","S01001796","Count",9
"1998","S01001796","Count",18
"1999","S01001796","Count",14
"2000","S01001796","Count",7
"2001","S01001796","Count",13
"1993","S01001796","Count",12
"1994","S01001796","Count",6
"1995","S01001796","Count",8
"1996","S01001796","Count",23
"1997","S01001796","Count",16
"2008","S01001797","Median",170000
"2009","S01001797","Median",153750
"2006","S01001797","Median",143076
"2005","S01001797","Median",114755
"1998","S01001797","Median",54000
"2010","S01001797","Median",172500
"2013","S01001797","Median",140000
"2012","S01001797","Median",141766
"1995","S01001797","Median",52025
"2011","S01001797","Median",151025
"2004","S01001797","Median",113000
"2007","S01001797","Median",165500
"2000","S01001797","Median",65000
"2002","S01001797","Median",77014
"1996","S01001797","Median",53178
"1993","S01001797","Median",51194
"1999","S01001797","Median",72750
"2003","S01001797","Median",95189
"1997","S01001797","Median",56001
"1994","S01001797","Median",57775
"2001","S01001797","Median",70000
"1993","S01001797","Mean",52466
"1994","S01001797","Mean",63328
"1995","S01001797","Mean",59178
"2008","S01001797","Mean",169821
"1996","S01001797","Mean",54674
"2004","S01001797","Mean",117657
"1997","S01001797","Mean",63000
"2005","S01001797","Mean",119298
"2009","S01001797","Mean",173750
"2010","S01001797","Mean",174650
"2011","S01001797","Mean",150947
"2012","S01001797","Mean",147766
"2013","S01001797","Mean",137500
"2006","S01001797","Mean",150256
"2003","S01001797","Mean",91720
"2002","S01001797","Mean",79802
"1998","S01001797","Mean",61649
"1999","S01001797","Mean",68763
"2007","S01001797","Mean",168167
"2000","S01001797","Mean",72304
"2001","S01001797","Mean",75487
"1997","S01001797","Upper Quartile",78000
"2003","S01001797","Upper Quartile",107188
"2002","S01001797","Upper Quartile",96776
"1996","S01001797","Upper Quartile",59548
"1993","S01001797","Upper Quartile",52000
"2006","S01001797","Upper Quartile",157576
"1998","S01001797","Upper Quartile",60000
"1995","S01001797","Upper Quartile",69575
"2007","S01001797","Upper Quartile",175000
"2004","S01001797","Upper Quartile",126521
"1999","S01001797","Upper Quartile",77077
"2011","S01001797","Upper Quartile",165000
"1994","S01001797","Upper Quartile",78519
"2005","S01001797","Upper Quartile",144317
"2012","S01001797","Upper Quartile",159750
"2013","S01001797","Upper Quartile",147500
"2010","S01001797","Upper Quartile",195000
"2008","S01001797","Upper Quartile",180000
"2001","S01001797","Upper Quartile",93800
"2009","S01001797","Upper Quartile",155000
"2000","S01001797","Upper Quartile",70000
"2004","S01001797","Lower Quartile",102077
"2005","S01001797","Lower Quartile",106000
"2006","S01001797","Lower Quartile",135375
"2007","S01001797","Lower Quartile",159000
"2008","S01001797","Lower Quartile",157000
"2009","S01001797","Lower Quartile",145000
"2010","S01001797","Lower Quartile",132500
"2011","S01001797","Lower Quartile",125000
"2012","S01001797","Lower Quartile",135782
"2013","S01001797","Lower Quartile",120000
"2003","S01001797","Lower Quartile",76250
"2002","S01001797","Lower Quartile",68386
"1998","S01001797","Lower Quartile",52750
"1999","S01001797","Lower Quartile",58000
"2000","S01001797","Lower Quartile",56000
"2001","S01001797","Lower Quartile",55000
"1993","S01001797","Lower Quartile",43000
"1994","S01001797","Lower Quartile",50000
"1995","S01001797","Lower Quartile",48780
"1996","S01001797","Lower Quartile",45975
